Symbol,1W Change %,1M Change %,3M Change %,6M Change %,1Y Change %,5Y Change %,Name,Category
MRUS,33.32,24.3,17.95,21.48,-8.08,258.98,Merus N.V.,Top Gainers
RGC,59.08,1803.47,12127.07,9383.49,11077.64,5233.33,Regencell Bioscience Holdings Limited,Top Gainers
UEC,25.0,22.39,15.18,-20.17,-11.16,508.49,Uranium Energy Corp.,Top Gainers
OKLO,23.01,100.95,43.4,113.31,381.48,389.68,Oklo Inc.,Top Gainers
X,24.96,23.22,38.16,35.15,45.55,569.67,United States Steel Corporation,Top Gainers
SMR,23.33,82.61,63.81,7.77,288.69,200.6,NuScale Power Corporation,Top Gainers
INFA,16.0,22.22,16.84,-14.49,-24.58,-22.24,Informatica Inc.,Top Gainers
NXE,16.2,21.87,12.84,-25.63,-19.69,345.71,NexGen Energy Ltd.,Top Gainers
CCJ,14.67,33.72,35.61,1.19,10.97,479.79,Cameco Corporation,Top Gainers
BWXT,8.64,10.96,20.19,-7.91,35.49,116.88,"BWX Technologies, Inc.",Top Gainers
OTLY,13.72,21.8,55.43,-23.24,-48.8,-97.2,Oatly Group AB,Top Gainers
TNXP,8.76,68.3,229.87,52.26,-94.98,-99.99,Tonix Pharmaceuticals Holding Corp.,Top Gainers
FLR,8.28,15.28,10.44,-26.77,-2.19,251.97,Fluor Corporation,Top Gainers
INTU,7.34,17.13,27.18,13.86,19.41,163.39,Intuit Inc.,Top Gainers
GME,18.43,21.97,32.12,11.32,73.84,2889.14,GameStop Corp.,Top Gainers
FRO,-0.33,12.58,13.63,-0.09,-29.85,231.41,Frontline plc,Top Gainers
DJTWW,0.0,0.0,0.0,-1.39,-18.15,-13.4,Trump Media & Technology Group Corp.,Top Gainers
BE,1.3,7.39,-14.19,-24.93,19.58,139.02,Bloom Energy Corporation,Top Gainers
MIR,7.41,26.19,23.38,13.63,75.58,89.35,"Mirion Technologies, Inc.",Top Gainers
TEM,-1.85,16.93,-10.08,-2.08,55.43,55.43,"Tempus AI, Inc.",Top Gainers
KEP,9.81,27.46,46.79,33.57,56.01,31.72,Korea Electric Power Corporation,Top Gainers
PTON,20.35,20.54,-13.58,-20.98,140.32,-81.85,"Peloton Interactive, Inc.",Top Gainers
LNW,3.78,2.83,-14.53,-12.64,-9.21,475.7,"Light & Wonder, Inc.",Top Gainers
GFI,8.51,2.99,21.9,59.64,48.3,259.26,Gold Fields Limited,Top Gainers
DJT,2.59,-1.64,-0.04,-16.36,-43.86,158.49,Trump Media & Technology Group Corp.,Top Gainers
HMY,7.39,-0.94,42.32,72.17,72.14,405.67,Harmony Gold Mining Company Limited,Top Gainers
ENPH,-18.74,-13.36,-40.01,-44.88,-68.33,-32.16,"Enphase Energy, Inc.",Top Gainers
CSAN,6.7,3.99,17.66,-25.87,-44.97,-59.18,Cosan S.A.,Top Gainers
ORLA,10.24,-3.69,50.22,136.73,150.96,326.12,Orla Mining Ltd.,Top Gainers
SLNO,1.73,3.58,70.83,34.38,86.81,26.57,"Soleno Therapeutics, Inc.",Top Gainers
CWEN-A,-0.9,6.91,15.76,9.5,23.61,88.83,"Clearway Energy, Inc.",Top Gainers
CWEN,-0.49,6.09,15.9,9.4,20.41,84.7,"Clearway Energy, Inc.",Top Gainers
HBM,6.79,16.53,21.69,-2.54,-8.44,250.93,Hudbay Minerals Inc.,Top Gainers
AES,-14.69,0.48,-5.14,-21.5,-49.58,-7.63,The AES Corporation,Top Gainers
EAT,3.68,-1.75,0.95,17.98,133.01,496.64,"Brinker International, Inc.",Top Gainers
STX,3.39,35.77,13.57,12.97,23.2,165.93,Seagate Technology Holdings plc,Top Gainers
STEP,-1.18,16.79,1.56,-11.26,43.7,160.29,StepStone Group Inc.,Top Gainers
FCX,0.57,3.69,5.62,-11.35,-23.19,347.15,Freeport-McMoRan Inc.,Top Gainers
TME,4.66,31.73,34.98,56.57,19.46,47.95,Tencent Music Entertainment Group,Top Gainers
BEPC,-4.5,3.85,4.55,-7.72,-6.37,22.01,Brookfield Renewable Corporation,Top Gainers
ALVO,2.09,22.82,-13.4,-14.33,-27.55,-8.13,Alvotech,Top Gainers
CORT,5.17,9.61,27.31,33.31,185.94,404.42,Corcept Therapeutics Incorporated,Top Gainers
VRNA,3.42,15.87,14.42,89.16,523.42,1633.49,Verona Pharma plc,Top Gainers
SSRM,6.18,11.84,10.03,100.0,112.15,-37.79,SSR Mining Inc.,Top Gainers
AGX,7.56,36.73,61.17,30.09,191.65,527.61,"Argan, Inc.",Top Gainers
BILI,5.25,7.16,-7.77,2.96,35.83,-42.85,Bilibili Inc.,Top Gainers
TECK,1.69,0.99,-10.23,-21.97,-27.59,303.82,Teck Resources Limited,Top Gainers
TFPM,7.08,2.25,25.23,33.04,24.63,98.23,Triple Flag Precious Metals Corp.,Top Gainers
KB,4.3,21.3,26.0,3.01,26.51,170.35,KB Financial Group Inc.,Top Gainers
BEP,-4.81,5.41,5.33,-5.53,-12.76,9.12,Brookfield Renewable Partners L.P.,Top Gainers
CW,2.49,27.69,36.58,15.44,53.03,346.83,Curtiss-Wright Corporation,Top Gainers
NVDA,-3.16,23.36,0.78,-3.46,23.35,1411.56,NVIDIA Corporation,Most Active
QBTS,42.97,155.78,193.29,550.52,1440.98,85.22,D-Wave Quantum Inc.,Most Active
RGTI,16.35,50.75,38.54,409.82,1210.28,41.62,"Rigetti Computing, Inc.",Most Active
OKLO,23.01,100.95,43.4,113.31,381.48,389.68,Oklo Inc.,Most Active
LCID,-4.48,4.49,-7.91,17.97,-7.91,-74.12,"Lucid Group, Inc.",Most Active
TSLA,-0.8,30.76,2.67,0.22,89.32,521.6,"Tesla, Inc.",Most Active
F,-3.63,4.48,12.42,-4.78,-8.11,128.07,Ford Motor Company,Most Active
AAPL,-6.47,-6.16,-20.87,-15.94,3.27,153.69,Apple Inc.,Most Active
NU,-8.47,2.04,8.8,-15.74,2.22,16.07,Nu Holdings Ltd.,Most Active
INTC,-6.22,-6.7,-17.39,-19.38,-34.32,-63.92,Intel Corporation,Most Active
UEC,25.0,22.39,15.18,-20.17,-11.16,508.49,Uranium Energy Corp.,Most Active
BBD,0.36,17.8,40.31,25.96,23.45,6.12,Banco Bradesco S.A.,Most Active
PLTR,-2.39,14.41,35.98,90.73,486.91,1198.0,Palantir Technologies Inc.,Most Active
X,24.96,23.22,38.16,35.15,45.55,569.67,United States Steel Corporation,Most Active
IONQ,30.21,60.94,46.25,47.96,441.99,323.06,"IonQ, Inc.",Most Active
JWN,0.08,1.77,2.28,0.64,18.43,66.39,"Nordstrom, Inc.",Most Active
SMR,23.33,82.61,63.81,7.77,288.69,200.6,NuScale Power Corporation,Most Active
MARA,-9.74,5.14,6.05,-44.25,-30.55,1945.83,"MARA Holdings, Inc.",Most Active
AAL,-5.65,16.44,-26.91,-25.0,-19.15,0.45,American Airlines Group Inc.,Most Active
CLF,-11.96,-18.08,-41.88,-48.12,-61.68,30.38,Cleveland-Cliffs Inc.,Most Active
SOFI,-4.66,6.34,-8.84,-16.62,89.16,7.3,"SoFi Technologies, Inc.",Most Active
BTG,10.16,6.67,18.76,20.43,28.15,-18.56,B2Gold Corp.,Most Active
ITUB,-2.35,8.36,29.6,32.5,26.87,152.48,Itaú Unibanco Holding S.A.,Most Active
SMCI,-10.49,11.95,-22.32,4.37,-54.64,1484.59,"Super Micro Computer, Inc.",Most Active
AGNC,-3.39,2.74,-12.5,-2.27,6.3,24.07,AGNC Investment Corp.,Most Active
QNC.V,140.91,189.09,109.21,1282.61,1035.71,2020.0,Quantum eMotion Corp.,Trending Now
HSAI,10.23,42.71,20.98,351.58,362.28,1.9,Hesai Group,Trending Now
SHOP.TO,-3.17,5.26,-11.81,-9.09,83.39,35.56,Shopify Inc.,Trending Now
1211.HK,-4.36,11.54,9.08,65.45,108.53,871.25,BYD COMPANY,Trending Now
NVDA,-3.16,23.36,0.78,-3.46,23.35,1411.56,NVIDIA Corporation,Trending Now
BYDDY,6.32,15.72,20.23,77.42,124.77,951.65,BYD Company Limited,Trending Now
IVN.TO,-17.66,-17.28,-26.28,-42.41,-45.36,262.63,Ivanhoe Mines Ltd.,Trending Now
BNS.TO,-0.19,5.45,0.68,-6.57,16.27,114.13,The Bank of Nova Scotia,Trending Now
ETL.V,66.07,40.91,17.72,-21.19,-46.86,257.69,E3 Lithium Limited,Trending Now
ATZ.TO,2.27,40.49,-0.12,49.15,100.96,275.35,Aritzia Inc.,Trending Now
MDB,-1.67,7.3,-30.42,-45.56,-46.86,-14.14,"MongoDB, Inc.",Trending Now
3350.T,16.83,216.86,171.82,397.26,1526.87,1479.71,Metaplanet Inc.,Trending Now
STX,3.39,35.77,13.57,12.97,23.2,165.93,Seagate Technology Holdings plc,Trending Now
9988.HK,-3.94,1.48,-14.61,40.25,47.75,-41.64,Alibaba Group Holding Limited,Trending Now
AC.TO,0.0,34.12,8.3,-23.87,2.06,6.34,Air Canada,Trending Now
CLS.TO,7.94,39.55,5.67,38.72,109.94,1809.82,Celestica Inc.,Trending Now
TD.TO,3.6,7.78,10.48,22.01,27.83,95.86,The Toronto-Dominion Bank,Trending Now
OKTA,-2.15,21.84,36.14,61.73,27.34,-32.82,"Okta, Inc.",Trending Now
RY.TO,0.32,7.63,3.84,2.78,26.74,143.39,Royal Bank of Canada,Trending Now
WCP.TO,5.06,8.67,-7.39,-8.75,-7.45,434.31,Whitecap Resources Inc.,Trending Now
CNQ.TO,0.16,4.65,5.59,-5.94,-14.19,349.78,Canadian Natural Resources Limited,Trending Now
COKE,-1.83,-16.24,-16.28,-8.66,20.36,423.23,"Coca-Cola Consolidated, Inc.",Trending Now
T.TO,-0.45,6.0,0.13,6.77,6.61,24.14,TELUS Corporation,Trending Now
BCE.TO,-2.49,-2.42,-9.84,-16.94,-29.45,-25.59,BCE Inc.,Trending Now
CM.TO,1.09,9.78,9.52,5.48,48.19,177.02,Canadian Imperial Bank of Commerce,Trending Now
